place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
2,3,BELUGA(D105),Z Purton,D J Hall,127,1111,10,2,"5                                                            

5                                                            

2",1:09.77,2.6,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
3,1,XPONENTIAL(D049),M Chadwick,D J Whyte,133,1133,6,2-1/4,"3                                                            

2                                                            

3",1:09.79,6.9,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
4,10,SPONTANEOUS(D106),B Shinn,P O'Sullivan,125,1176,13,4,"10                                                            

11                                                            

4",1:10.09,30,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
5,12,BRAVE BABY(C066),M F Poon,A S Cruz,122,1067,12,4-1/4,"7                                                            

8                                                            

5",1:10.11,60,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
6,8,SPICY GRILL(D159),M L Yeung,K W Lui,127,1015,3,5,"8                                                            

7                                                            

6",1:10.25,185,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
7,2,CHARITY GRAND(B358),H W Lai,C S Shum,128,1080,8,5-3/4,"12                                                            

13                                                            

7",1:10.35,58,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
8,13,LEADING FORTUNE(C441),A Badel,J Size,124,1096,14,5-3/4,"14                                                            

12                                                            

8",1:10.36,11,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
9,4,DOUBLE TAKE(D205),N Callan,C Fownes,127,1179,7,5-3/4,"9                                                            

9                                                            

9",1:10.36,203,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
10,11,SUPER EIGHTEEN(A323),C Wong,A T Millard,120,1234,9,6-1/4,"2                                                            

3                                                            

10",1:10.46,27,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
11,7,SO AWESOME(D258),H T Mo,Y S Tsui,124,995,11,6-3/4,"13                                                            

14                                                            

11",1:10.53,238,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
12,14,BABY STORM(C500),K C Leung,L Ho,121,1044,2,7-1/4,"11                                                            

10                                                            

12",1:10.60,9,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
13,9,COOL ACE(D154),K Teetan,C W Chang,126,1021,4,7-3/4,"6                                                            

6                                                            

13",1:10.69,12,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
14,6,LUCKY VICTOR(C514),K H Chan,K H Ting,120,1163,1,12,"4                                                            

4                                                            

14",1:11.35,159,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
1,2,EVER LAUGH(A278),B Shinn,K L Man,132,1157,9,-,"4                                                            

5                                                            

4                                                            

1",1:35.51,4.4,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
2,1,SONIC FIGHTER(A187),N Callan,P O'Sullivan,133,1078,6,SH,"8                                                            

6                                                            

6                                                            

2",1:35.53,3.6,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
3,9,MENAGGIO(D021),M F Poon,P F Yiu,120,946,4,1-1/2,"9                                                            

10                                                            

10                                                            

3",1:35.74,16,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
4,11,PARTY EVERYDAY(C414),Z Purton,A S Cruz,120,1103,12,1-1/2,"14                                                            

13                                                            

12                                                            

4",1:35.75,6.1,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
5,13,FANTASTIC BOY(D013),K C Leung,W Y So,117,1165,5,1-1/2,"10                                                            

9                                                            

9                                                            

5",1:35.76,44,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
6,5,RIGHTEOUS MATE(A419),M Chadwick,A T Millard,124,1215,1,2,"7                                                            

8                                                            

7                                                            

6",1:35.82,10,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
7,4,HAPPY WIN WIN(C125),K Teetan,C H Yip,124,1020,11,2-1/4,"12                                                            

11                                                            

11                                                            

7",1:35.87,10,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
8,12,WHO'S HORSE(C233),H W Lai,K H Ting,118,1097,10,4,"1                                                            

1                                                            

1                                                            

8",1:36.14,100,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
9,3,JIMMU(C266),H T Mo,Y S Tsui,128,1088,8,4-1/4,"3                                                            

4                                                            

3                                                            

9",1:36.20,52,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
10,6,HAPPY ICHIBAN(D037),L Hewitson,D J Whyte,123,1274,13,7,"5                                                            

3                                                            

5                                                            

10",1:36.61,70,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
11,8,JOY N FUN LEGEND(D012),M L Yeung,T P Yung,123,1129,7,7,"13                                                            

14                                                            

13                                                            

11",1:36.62,78,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
12,10,SWOT TROOPERS WIND(D101),H N Wong,D J Hall,118,1131,14,9-1/4,"2                                                            

2                                                            

2                                                            

12",1:36.97,228,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
13,7,INDIGENOUS STAR(A081),C Schofield,C W Chang,123,1033,2,10-1/2,"6                                                            

7                                                            

8                                                            

13",1:37.19,19,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
14,14,SAVVY SEVEN(B314),A Badel,J Moore,117,1096,3,ML,"11                                                            

12                                                            

14                                                            

14",1:56.00,6.3,5(458),Class 4 - 1600M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
1,8,ALLIED AGILITY(C314),K H Chan,P F Yiu,114,1149,1,-,"2                                                            

2                                                            

1",0:56.20,13,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
2,14,WAR OF COURAGE(C483),M Chadwick,K L Man,115,1230,5,1/2,"1                                                            

1                                                            

2",0:56.28,1.8,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
3,11,LARSON(D199),L Hewitson,J Moore,118,984,10,3/4,"5                                                            

3                                                            

3",0:56.33,40,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
4,1,HEART CONQUERED(D174),N Callan,R Gibson,131,1229,11,3,"8                                                            

6                                                            

4",0:56.67,6.9,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
5,4,HARMONY AND RICH(D110),K Teetan,W Y So,128,1076,4,4-1/4,"12                                                            

5                                                            

5",0:56.86,6.6,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
6,3,SPECIAL STARS(C010),A Badel,J Size,129,1086,8,6,"11                                                            

10                                                            

6",0:57.15,21,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
7,9,JUMBO ENGINE(D195),K C Leung,D J Whyte,119,1149,14,6-3/4,"14                                                            

14                                                            

7",0:57.26,95,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
8,12,GOKO(A270),M F Poon,C H Yip,115,1291,13,6-3/4,"6                                                            

4                                                            

8",0:57.29,21,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
9,2,BALTIC WHISPER(B216),B Shinn,C S Shum,130,1152,6,8-3/4,"3                                                            

8                                                            

9",0:57.58,32,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
10,10,DIAMOND PEGASUS(D143),C Schofield,A S Cruz,119,1135,9,11-1/2,"4                                                            

9                                                            

10",0:58.05,47,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
11,5,GANESH TALAI(C400),H N Wong,D E Ferraris,124,1090,7,11-3/4,"13                                                            

13                                                            

11",0:58.07,234,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
12,7,OOGA CHAKA(C259),M L Yeung,C Fownes,122,1070,3,13-1/4,"10                                                            

12                                                            

12",0:58.31,322,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
13,6,CHIKORITA(D230),Z Purton,C W Chang,122,1259,2,13-1/2,"9                                                            

7                                                            

13",0:58.34,9.1,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
14,13,SO GLORIOUS(C430),H T Mo,Y S Tsui,112,991,12,14-1/4,"7                                                            

11                                                            

14",0:58.47,346,6(459),Class 3 - 1000M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
1,2,CIRCUIT THREE(B360),C Schofield,A S Cruz,130,1115,1,-,"8                                                            

8                                                            

6                                                            

1",1:21.83,2,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
2,4,GUY DRAGON(B377),Z Purton,W Y So,128,1172,2,N,"7                                                            

7                                                            

7                                                            

2",1:21.88,3.8,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
3,10,GIFT OF LIFELINE(C172),K Teetan,A T Millard,120,1005,3,N,"10                                                            

10                                                            

11                                                            

3",1:21.89,6.7,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
4,1,SNAP FIT(B402),C Wong,C Fownes,128,1181,6,1,"5                                                            

4                                                            

5                                                            

4",1:22.00,13,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
5,13,ALPHA HEDGE(B102),H N Wong,K W Lui,112,1186,8,1-1/2,"11                                                            

12                                                            

12                                                            

5",1:22.08,129,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
6,6,HARDLY SWEARS(C025),M L Yeung,K H Ting,125,1095,4,1-3/4,"4                                                            

5                                                            

4                                                            

6",1:22.10,11,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
7,8,GREAT TREASURE(T380),H W Lai,Y S Tsui,121,1024,7,2,"13                                                            

13                                                            

10                                                            

7",1:22.17,27,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
8,7,INFINITY ENDEAVOUR(A030),N Callan,J Size,124,1117,10,3-1/2,"9                                                            

9                                                            

9                                                            

8",1:22.40,53,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
9,11,FLYING BONUS(B433),M Chadwick,C H Yip,119,1148,5,4-1/4,"1                                                            

3                                                            

3                                                            

9",1:22.51,17,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
10,5,PLANET STAR(A049),L Hewitson,P O'Sullivan,127,1213,12,5-1/2,"3                                                            

2                                                            

2                                                            

10",1:22.72,73,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
11,14,FRESH POWER(B067),H T Mo,Y S Tsui,112,1011,9,5-3/4,"6                                                            

6                                                            

8                                                            

11",1:22.75,156,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
12,3,FORZA ANGEL(B333),K H Chan,Y S Tsui,112,1052,13,7,"2                                                            

1                                                            

1                                                            

12",1:22.96,158,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
13,9,EVEN KEEL(C442),K C Leung,L Ho,120,1012,11,8-1/2,"12                                                            

11                                                            

13                                                            

13",1:23.20,409,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
WV,12,RELENTLESS ME(A178),A Badel,D J Whyte,118,---,---,---,---,---,---,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
WV,,AWE(D168),B Shinn,J Moore,128,---,---,---,---,---,---,7(460),Class 3 - 1400M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
1,14,E STAR(C132),H W Lai,K L Man,116,1032,10,-,"3                                                            

3                                                            

1",1:09.02,20,8(461),Class 3 - 1200M - (80-60),GOOD,"TURF - ""B+2"" Course","HK$ 1,450,000",Sha Tin,2020/03/01
